name, address,number,Availability,BGroup
G.B. Pant Hospital Blood bank,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",03192 230628,YES,A+
I.N.H.S. Dhanvantri,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",03192 248759,NO,A+
Pillar Health Centre Blood Bank,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport","03192 233193, 03192 233993",NO,A+
"Indian Red Cross Society Blood Bank, District Branch","Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",08554 246344,YES,A+
Government General Hospital Blood Bank,"Government General Hospital, Ananthapur",08554 275024,YES,A+
Indian Red Cross Society,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",8554246344,YES,A+
Rural Development Trust Hospital Blood Bank,"Kadiri Road, Bathalapalli, Ananthapur",08559 244259,YES,A+
South Central Railway Hospital Blood Bank,"S.C. Railway Hospital, Guntakal, Ananthapuramu",08552 227166,NO,A+
Indian Red Cross Society Blood Bank,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",08556 225900,NO,A+
Indian Red Cross Society Blood bank RCH -II KADIRI,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",08494 221544,NO,A+
S.S.S.I.H.M.S. Blood Bank,"Prasanthigram, Puttaparthy, Ananthapuramu",08555 287900,,A+
District Head Quarters Hospital Blood Bank. ,"Head Quarters  Hospital Compound, Chittoor",NA,YES,A+
Indian Red Cross Society,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",8572220287,YES,A+
M/s IRCS Blood Bank.,"D.No. 20 - 119, Prakasam High Road, Chittor",08572 220287 ,NO,A+
M/s PESIMSR Blood Bank.,"PES Institute of medical sciences premises, Kuppam
",08570 256737,YES,A+
Blood Bank AH Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",8571222087,YES,A+
"Indian Red Cross Society, Madanapalli RCH 2","Area Hospital, Patel Road, Madanapalli.
",08571 222087,NO,A+
"Aswini Hospital Blood Bank, TTD","Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",9490651605,,A+
SVRRGGH - Model Blood Bank,"S.V.R.R. Government General Hospital, Tirupati
",0877 2286290,YES,A+
Sri Venkateswara Institute of Medical sciences Blood Bank,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",0877 2287777,,A+
Govt Maternity Hospital Blood Bank,"Ruia Hospital Road, Tirupati",,NO,A+
 TTD Central Hospital Blood Bank,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",0877 2264622,NO,A+
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",0877 6667671 ,YES,A+
Government Hospital,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",,NO,A+
"M/S. Kims & Research Foundation, Hospital Blood Bank","Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.","08856 237996, 08856 237997, 08856 237998",YES,A+
M/s. A.P.V.V.P Area Hospital Blood Bank  ,"Ground Floor Area Hospital, Amalapuram",NA,NO,A+
"M/s. Government General Hospital, Blood Bank.","Government General Premises, Ground Floor, Kakinada",0884 2302008,YES,A+
M/s. Indian Red Cross Society Blood Bank,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",0884 2385800,YES,A+
